Time_stamp,qDelay
0.010800,0.000000
0.011600,0.000800
0.012400,0.001600
0.013200,0.002400
0.014000,0.003200
0.014800,0.004000
0.015600,0.004800
0.016400,0.005600
0.017200,0.006400
0.018000,0.007200
0.018800,0.008000
0.031600,0.000000
0.032400,0.000000
0.033200,0.000000
0.034000,0.000000
0.034800,0.000000
0.035600,0.000000
0.036400,0.000000
0.037200,0.000000
0.038000,0.000000
0.038800,0.000000
0.039600,0.000000
1.060400,0.000000
1.081200,0.000000
1.082000,0.000800
1.082800,0.001600
1.083600,0.002400
1.084400,0.003200
1.085200,0.004000
1.086000,0.004800
1.086800,0.005600
1.087600,0.006400
1.088400,0.007200
1.089200,0.008000
1.102000,0.000000
1.102800,0.000000
1.103600,0.000000
1.104400,0.000800
1.105200,0.001600
1.106000,0.002400
1.106800,0.003200
1.107600,0.004000
1.108400,0.004800
1.109200,0.005600
1.110000,0.006400
1.110800,0.007200
1.111600,0.008000
2.132400,0.000000
2.153200,0.000000
2.154000,0.000800
2.154800,0.001600
2.155600,0.002400
2.156400,0.003200
2.157200,0.004000
2.158000,0.004800
2.158800,0.005600
2.159600,0.006400
2.160400,0.007200
2.161200,0.008000
2.174000,0.000000
2.174800,0.000000
2.175600,0.000000
2.176400,0.000000
2.177200,0.000000
2.178000,0.000000
2.178800,0.000000
2.179600,0.000000
2.180400,0.000000
2.181200,0.000000
2.182000,0.000000
3.202800,0.000000
3.223600,0.000000
3.224400,0.000800
3.225200,0.001600
3.226000,0.002400
3.226800,0.003200
3.227600,0.004000
3.228400,0.004800
3.229200,0.005600
3.230000,0.006400
3.230800,0.007200
3.231600,0.008000
3.244400,0.000000
3.245200,0.000000
3.246000,0.000000
3.246800,0.000800
3.247600,0.001600
3.248400,0.002400
3.249200,0.003200
3.250000,0.004000
3.250800,0.004800
3.251600,0.005600
3.252400,0.006400
3.253200,0.007200
3.254000,0.008000
4.274800,0.000000
4.295600,0.000000
4.296400,0.000800
4.297200,0.001600
4.298000,0.002400
4.298800,0.003200
4.299600,0.004000
4.300400,0.004800
4.301200,0.005600
4.302000,0.006400
4.302800,0.007200
4.303600,0.008000
4.316400,0.000000
4.317200,0.000000
4.318000,0.000000
4.318800,0.000000
4.319600,0.000000
4.320400,0.000000
4.321200,0.000000
4.322000,0.000000
4.322800,0.000000
4.323600,0.000000
4.324400,0.000000
5.345200,0.000000
5.366000,0.000000
5.366800,0.000800
5.367600,0.001600
5.368400,0.002400
5.369200,0.003200
5.370000,0.004000
5.370800,0.004800
5.371600,0.005600
5.372400,0.006400
5.373200,0.007200
5.374000,0.008000
5.386800,0.000000
5.387600,0.000000
5.388400,0.000000
5.389200,0.000800
5.390000,0.001600
5.390800,0.002400
5.391600,0.003200
5.392400,0.004000
5.393200,0.004800
5.394000,0.005600
5.394800,0.006400
5.395600,0.007200
5.396400,0.008000
6.417200,0.000000
6.438000,0.000000
6.438800,0.000800
6.439600,0.001600
6.440400,0.002400
6.441200,0.003200
6.442000,0.004000
6.442800,0.004800
6.443600,0.005600
6.444400,0.006400
6.445200,0.007200
6.446000,0.008000
6.458800,0.000000
6.459600,0.000000
6.460400,0.000000
6.461200,0.000000
6.462000,0.000000
6.462800,0.000000
6.463600,0.000000
6.464400,0.000000
6.465200,0.000000
6.466000,0.000000
6.466800,0.000000
7.487600,0.000000
7.508400,0.000000
7.509200,0.000800
7.510000,0.001600
7.510800,0.002400
7.511600,0.003200
7.512400,0.004000
7.513200,0.004800
7.514000,0.005600
7.514800,0.006400
7.515600,0.007200
7.516400,0.008000
7.529200,0.000000
7.530000,0.000000
7.530800,0.000000
7.531600,0.000800
7.532400,0.001600
7.533200,0.002400
7.534000,0.003200
7.534800,0.004000
7.535600,0.004800
7.536400,0.005600
7.537200,0.006400
7.538000,0.007200
7.538800,0.008000
8.559600,0.000000
8.580400,0.000000
8.581200,0.000800
8.582000,0.001600
8.582800,0.002400
8.583600,0.003200
8.584400,0.004000
8.585200,0.004800
8.586000,0.005600
8.586800,0.006400
8.587600,0.007200
8.588400,0.008000
8.601200,0.000000
8.602000,0.000000
8.602800,0.000000
8.603600,0.000000
8.604400,0.000000
8.605200,0.000000
8.606000,0.000000
8.606800,0.000000
8.607600,0.000000
8.608400,0.000000
8.609200,0.000000
9.630000,0.000000
9.650800,0.000000
9.651600,0.000800
9.652400,0.001600
9.653200,0.002400
9.654000,0.003200
9.654800,0.004000
