Time_stamp,qDelay
0.010800,0.000000
0.011600,0.000800
0.012400,0.001600
0.013200,0.002400
0.014000,0.003200
0.014800,0.004000
0.015600,0.004800
0.016400,0.005600
0.017200,0.006400
0.018000,0.007200
0.018800,0.008000
0.031600,0.000000
0.032400,0.000000
0.033200,0.000000
0.034000,0.000000
0.034800,0.000000
0.035600,0.000000
0.036400,0.000000
0.037200,0.000000
0.038000,0.000000
0.038800,0.000000
0.039600,0.000000
1.060400,0.000000
1.081200,0.000000
1.082000,0.000800
1.082800,0.001600
1.083600,0.002400
1.084400,0.003200
1.085200,0.004000
1.086000,0.004800
1.086800,0.005600
1.087600,0.006400
1.088400,0.007200
1.089200,0.008000
1.102000,0.000000
1.102800,0.000000
1.103600,0.000000
1.104400,0.000000
1.105200,0.000000
1.106000,0.000000
1.106800,0.000000
1.107600,0.000000
1.108400,0.000800
1.109200,0.001600
1.110000,0.002400
1.110800,0.003200
1.111600,0.004000
1.112400,0.004800
1.113200,0.005600
1.114000,0.006400
1.114800,0.007200
1.115600,0.008000
2.136400,0.000000
2.157200,0.000000
2.158000,0.000800
2.158800,0.001600
2.159600,0.002400
2.160400,0.003200
2.161200,0.004000
2.162000,0.004800
2.162800,0.005600
2.163600,0.006400
2.164400,0.007200
2.165200,0.008000
2.178000,0.000000
2.178800,0.000000
2.179600,0.000000
2.180400,0.000000
2.181200,0.000000
2.182000,0.000000
2.182800,0.000000
2.183600,0.000000
2.184400,0.000000
2.185200,0.000000
2.186000,0.000000
3.206800,0.000000
3.227600,0.000000
3.228400,0.000800
3.229200,0.001600
3.230000,0.002400
3.230800,0.003200
3.231600,0.004000
3.232400,0.004800
3.233200,0.005600
3.234000,0.006400
3.234800,0.007200
3.235600,0.008000
3.248400,0.000000
3.249200,0.000000
3.250000,0.000000
3.250800,0.000000
3.251600,0.000000
3.252400,0.000000
3.253200,0.000000
3.254000,0.000000
3.254800,0.000800
3.255600,0.001600
3.256400,0.002400
3.257200,0.003200
3.258000,0.004000
3.258800,0.004800
3.259600,0.005600
3.260400,0.006400
3.261200,0.007200
3.262000,0.008000
4.282800,0.000000
4.303600,0.000000
4.304400,0.000800
4.305200,0.001600
4.306000,0.002400
4.306800,0.003200
4.307600,0.004000
4.308400,0.004800
4.309200,0.005600
4.310000,0.006400
4.310800,0.007200
4.311600,0.008000
4.324400,0.000000
4.325200,0.000000
4.326000,0.000000
4.326800,0.000000
4.327600,0.000000
4.328400,0.000000
4.329200,0.000000
4.330000,0.000000
4.330800,0.000000
4.331600,0.000000
4.332400,0.000000
5.353200,0.000000
5.374000,0.000000
5.374800,0.000800
5.375600,0.001600
5.376400,0.002400
5.377200,0.003200
5.378000,0.004000
5.378800,0.004800
5.379600,0.005600
5.380400,0.006400
5.381200,0.007200
5.382000,0.008000
5.394800,0.000000
5.395600,0.000000
5.396400,0.000000
5.397200,0.000000
5.398000,0.000000
5.398800,0.000000
5.399600,0.000000
5.400400,0.000000
5.401200,0.000800
5.402000,0.001600
5.402800,0.002400
5.403600,0.003200
5.404400,0.004000
5.405200,0.004800
5.406000,0.005600
5.406800,0.006400
5.407600,0.007200
5.408400,0.008000
6.429200,0.000000
6.450000,0.000000
6.450800,0.000800
6.451600,0.001600
6.452400,0.002400
6.453200,0.003200
6.454000,0.004000
6.454800,0.004800
6.455600,0.005600
6.456400,0.006400
6.457200,0.007200
6.458000,0.008000
6.470800,0.000000
6.471600,0.000000
6.472400,0.000000
6.473200,0.000000
6.474000,0.000000
6.474800,0.000000
6.475600,0.000000
6.476400,0.000000
6.477200,0.000000
6.478000,0.000000
6.478800,0.000000
7.499600,0.000000
7.520400,0.000000
7.521200,0.000800
7.522000,0.001600
7.522800,0.002400
7.523600,0.003200
7.524400,0.004000
7.525200,0.004800
7.526000,0.005600
7.526800,0.006400
7.527600,0.007200
7.528400,0.008000
7.541200,0.000000
7.542000,0.000000
7.542800,0.000000
7.543600,0.000000
7.544400,0.000000
7.545200,0.000000
7.546000,0.000000
7.546800,0.000000
7.547600,0.000800
7.548400,0.001600
7.549200,0.002400
7.550000,0.003200
7.550800,0.004000
7.551600,0.004800
7.552400,0.005600
7.553200,0.006400
7.554000,0.007200
7.554800,0.008000
8.575600,0.000000
8.596400,0.000000
8.597200,0.000800
8.598000,0.001600
8.598800,0.002400
8.599600,0.003200
8.600400,0.004000
8.601200,0.004800
8.602000,0.005600
8.602800,0.006400
