Time_stamp,qDelay
0.010800,0.000000
0.031600,0.000000
0.052400,0.000000
0.073200,0.000000
0.094000,0.000000
0.114800,0.000000
0.135600,0.000000
0.156400,0.000000
0.177200,0.000000
0.198000,0.000000
0.218800,0.000000
0.239600,0.000000
0.260400,0.000000
0.281200,0.000000
0.302000,0.000000
0.322800,0.000000
0.343600,0.000000
0.364400,0.000000
0.385200,0.000000
0.406000,0.000000
0.426800,0.000000
0.447600,0.000000
0.468400,0.000000
0.489200,0.000000
0.510000,0.000000
0.530800,0.000000
0.551600,0.000000
0.572400,0.000000
0.593200,0.000000
0.614000,0.000000
0.634800,0.000000
0.655600,0.000000
0.676400,0.000000
0.697200,0.000000
0.718000,0.000000
0.738800,0.000000
0.759600,0.000000
0.780400,0.000000
0.801200,0.000000
0.822000,0.000000
0.842800,0.000000
0.863600,0.000000
0.884400,0.000000
0.905200,0.000000
0.926000,0.000000
0.946800,0.000000
0.967600,0.000000
0.988400,0.000000
1.009200,0.000000
1.030000,0.000000
1.050800,0.000000
1.071600,0.000000
1.092400,0.000000
1.113200,0.000000
1.134000,0.000000
1.154800,0.000000
1.175600,0.000000
1.196400,0.000000
1.217200,0.000000
1.238000,0.000000
1.258800,0.000000
1.279600,0.000000
1.300400,0.000000
1.321200,0.000000
1.342000,0.000000
1.362800,0.000000
1.383600,0.000000
1.404400,0.000000
1.425200,0.000000
1.446000,0.000000
1.466800,0.000000
1.487600,0.000000
1.508400,0.000000
1.529200,0.000000
1.550000,0.000000
1.570800,0.000000
1.591600,0.000000
1.612400,0.000000
1.633200,0.000000
1.654000,0.000000
1.674800,0.000000
1.695600,0.000000
1.716400,0.000000
1.737200,0.000000
1.758000,0.000000
1.778800,0.000000
1.799600,0.000000
1.820400,0.000000
1.841200,0.000000
1.862000,0.000000
1.882800,0.000000
1.903600,0.000000
1.924400,0.000000
1.945200,0.000000
1.966000,0.000000
1.986800,0.000000
2.007600,0.000000
2.028400,0.000000
2.049200,0.000000
2.070000,0.000000
2.090800,0.000000
2.111600,0.000000
2.132400,0.000000
2.153200,0.000000
2.174000,0.000000
2.194800,0.000000
2.215600,0.000000
2.236400,0.000000
2.257200,0.000000
2.278000,0.000000
2.298800,0.000000
2.319600,0.000000
2.340400,0.000000
2.361200,0.000000
2.382000,0.000000
2.402800,0.000000
2.423600,0.000000
2.444400,0.000000
2.465200,0.000000
2.486000,0.000000
2.506800,0.000000
2.527600,0.000000
2.548400,0.000000
2.569200,0.000000
2.590000,0.000000
2.610800,0.000000
2.631600,0.000000
2.652400,0.000000
2.673200,0.000000
2.694000,0.000000
2.714800,0.000000
2.735600,0.000000
2.756400,0.000000
2.777200,0.000000
2.798000,0.000000
2.818800,0.000000
2.839600,0.000000
2.860400,0.000000
2.881200,0.000000
2.902000,0.000000
2.922800,0.000000
2.943600,0.000000
2.964400,0.000000
2.985200,0.000000
3.006000,0.000000
3.026800,0.000000
3.047600,0.000000
3.068400,0.000000
3.089200,0.000000
3.110000,0.000000
3.130800,0.000000
3.151600,0.000000
3.172400,0.000000
3.193200,0.000000
3.214000,0.000000
3.234800,0.000000
3.255600,0.000000
3.276400,0.000000
3.297200,0.000000
3.318000,0.000000
3.338800,0.000000
3.359600,0.000000
3.380400,0.000000
3.401200,0.000000
3.422000,0.000000
3.442800,0.000000
