Time,Sequence Number,Event
0,1,send
0,1,transmit
0.0208,1001,ack
0.0208,1001,send
0.0208,1001,transmit
0.041600000000000005,2001,ack
0.041600000000000005,2001,send
0.041600000000000005,2001,transmit
0.062400000000000004,3001,ack
0.062400000000000004,3001,send
0.062400000000000004,3001,transmit
0.0832,4001,ack
0.0832,4001,send
0.0832,4001,transmit
0.104,5001,ack
0.104,5001,send
0.104,5001,transmit
0.1248,6001,ack
0.1248,6001,send
0.1248,6001,transmit
0.1456,7001,ack
0.1456,7001,send
0.1456,7001,transmit
0.16640000000000002,8001,ack
0.16640000000000002,8001,send
0.16640000000000002,8001,transmit
0.18720000000000003,9001,ack
0.18720000000000003,9001,send
0.18720000000000003,9001,transmit
0.20800000000000005,10001,ack
0.20800000000000005,10001,send
0.20800000000000005,10001,transmit
0.22880000000000006,11001,ack
0.22880000000000006,11001,send
0.22880000000000006,11001,transmit
0.24960000000000007,12001,ack
0.24960000000000007,12001,send
0.24960000000000007,12001,transmit
0.2704000000000001,13001,ack
0.2704000000000001,13001,send
0.2704000000000001,13001,transmit
0.29120000000000007,14001,ack
0.29120000000000007,14001,send
0.29120000000000007,14001,transmit
0.31200000000000006,15001,ack
0.31200000000000006,15001,send
0.31200000000000006,15001,transmit
0.33280000000000004,16001,ack
0.33280000000000004,16001,send
0.33280000000000004,16001,transmit
0.3536,17001,ack
0.3536,17001,send
0.3536,17001,transmit
0.3744,18001,ack
0.3744,18001,send
0.3744,18001,transmit
0.3952,19001,ack
0.3952,19001,send
0.3952,19001,transmit
0.416,20001,ack
0.416,20001,send
0.416,20001,transmit
0.43679999999999997,21001,ack
0.43679999999999997,21001,send
0.43679999999999997,21001,transmit
0.45759999999999995,22001,ack
0.45759999999999995,22001,send
0.45759999999999995,22001,transmit
0.47839999999999994,23001,ack
0.47839999999999994,23001,send
0.47839999999999994,23001,transmit
0.4991999999999999,24001,ack
0.4991999999999999,24001,send
0.4991999999999999,24001,transmit
0.5199999999999999,25001,ack
0.5199999999999999,25001,send
0.5199999999999999,25001,transmit
0.5408,26001,ack
0.5408,26001,send
0.5408,26001,transmit
0.5616,27001,ack
0.5616,27001,send
0.5616,27001,transmit
0.5824,28001,ack
0.5824,28001,send
0.5824,28001,transmit
0.6032000000000001,29001,ack
0.6032000000000001,29001,send
0.6032000000000001,29001,transmit
0.6240000000000001,30001,ack
0.6240000000000001,30001,send
0.6240000000000001,30001,transmit
0.6448000000000002,31001,ack
0.6448000000000002,31001,send
0.6448000000000002,31001,transmit
0.6656000000000002,32001,ack
0.6656000000000002,32001,send
0.6656000000000002,32001,transmit
0.6864000000000002,33001,ack
0.6864000000000002,33001,send
0.6864000000000002,33001,transmit
0.7072000000000003,34001,ack
0.7072000000000003,34001,send
0.7072000000000003,34001,transmit
0.7280000000000003,35001,ack
0.7280000000000003,35001,send
0.7280000000000003,35001,transmit
0.7488000000000004,36001,ack
0.7488000000000004,36001,send
0.7488000000000004,36001,transmit
0.7696000000000004,37001,ack
0.7696000000000004,37001,send
0.7696000000000004,37001,transmit
0.7904000000000004,38001,ack
0.7904000000000004,38001,send
0.7904000000000004,38001,transmit
0.8112000000000005,39001,ack
0.8112000000000005,39001,send
0.8112000000000005,39001,transmit
0.8320000000000005,40001,ack
0.8320000000000005,40001,send
0.8320000000000005,40001,transmit
0.8528000000000006,41001,ack
0.8528000000000006,41001,send
0.8528000000000006,41001,transmit
0.8736000000000006,42001,ack
0.8736000000000006,42001,send
0.8736000000000006,42001,transmit
0.8944000000000006,43001,ack
0.8944000000000006,43001,send
0.8944000000000006,43001,transmit
0.9152000000000007,44001,ack
0.9152000000000007,44001,send
0.9152000000000007,44001,transmit
0.9360000000000007,45001,ack
0.9360000000000007,45001,send
0.9360000000000007,45001,transmit
0.9568000000000008,46001,ack
0.9568000000000008,46001,send
0.9568000000000008,46001,transmit
0.9776000000000008,47001,ack
0.9776000000000008,47001,send
0.9776000000000008,47001,transmit
0.9984000000000008,48001,ack
0.9984000000000008,48001,send
0.9984000000000008,48001,transmit
1.0192000000000008,49001,ack
1.0192000000000008,49001,send
1.0192000000000008,49001,transmit
1.0400000000000007,50001,ack
1.0400000000000007,50001,send
1.0400000000000007,50001,transmit
1.0608000000000006,51001,ack
1.0608000000000006,51001,send
1.0608000000000006,51001,transmit
1.0816000000000006,52001,ack
1.0816000000000006,52001,send
1.0816000000000006,52001,transmit
1.1024000000000005,53001,ack
1.1024000000000005,53001,send
1.1024000000000005,53001,transmit
1.1232000000000004,54001,ack
1.1232000000000004,54001,send
1.1232000000000004,54001,transmit
